profile,perturbation,metric,variant,directions,mean_percent,delta_pp
structured,isolated_pitch,pitch_directed,cel8_104,↙ ↓ →,99.13963154511454,1.9561178871969482
structured,isolated_pitch,pitch_directed,cel8_104_lw,↙ ↓ → + LW,99.73001402524545,2.546500367327853
structured,isolated_pitch,pitch_directed,cel8_105,↗ ↙ ↓ →,98.14837540906966,0.9648617511520741
structured,isolated_pitch,pitch_directed,cel8_105_lw,↗ ↙ ↓ → + LW,99.54067321178121,2.357159553863614
structured,isolated_pitch,pitch_directed,cel8_106,↘ ↙ ↓ →,99.46002805049088,2.2765143925732922
structured,isolated_pitch,pitch_directed,cel8_106_lw,↘ ↙ ↓ → + LW,99.54067321178121,2.357159553863614
structured,isolated_pitch,pitch_directed,cel8_107,↗ ↘ ↙ ↓ →,98.40759199893141,1.224078341013826
structured,isolated_pitch,pitch_directed,cel8_107_lw,↗ ↘ ↙ ↓ → + LW,99.54067321178121,2.357159553863614
structured,isolated_pitch,pitch_directed,cel8_108,↖ ↙ ↓ →,98.23766112335537,1.054147465437791
structured,isolated_pitch,pitch_directed,cel8_108_lw,↖ ↙ ↓ → + LW,99.54067321178121,2.357159553863614
structured,isolated_pitch,pitch_directed,cel8_109,↗ ↖ ↙ ↓ →,97.44273024777934,0.2592165898617521
structured,isolated_pitch,pitch_directed,cel8_109_lw,↗ ↖ ↙ ↓ → + LW,99.54067321178121,2.357159553863614
structured,isolated_pitch,pitch_directed,cel8_110,↘ ↖ ↙ ↓ →,98.35670874240299,1.1731950844854095
structured,isolated_pitch,pitch_directed,cel8_110_lw,↘ ↖ ↙ ↓ → + LW,99.54067321178121,2.357159553863614
structured,isolated_pitch,pitch_directed,cel8_111,↗ ↘ ↖ ↙ ↓ →,97.71058739063648,0.5270737327188968
structured,isolated_pitch,pitch_directed,cel8_111_lw,↗ ↘ ↖ ↙ ↓ → + LW,99.54067321178121,2.357159553863614
structured,isolated_pitch,pitch_directed,cel8_112,↑ ↓ →,99.62131837307153,2.4378047151539377
structured,isolated_pitch,pitch_directed,cel8_112_lw,↑ ↓ → + LW,100.0,2.816486342082411
structured,isolated_pitch,pitch_directed,cel8_113,↗ ↑ ↓ →,98.05908969478394,0.8755760368663629
structured,isolated_pitch,pitch_directed,cel8_113_lw,↗ ↑ ↓ → + LW,99.89130434782608,2.707790689908496
structured,isolated_pitch,pitch_directed,cel8_114,↘ ↑ ↓ →,99.46002805049088,2.2765143925732922
structured,isolated_pitch,pitch_directed,cel8_114_lw,↘ ↑ ↓ → + LW,100.0,2.816486342082411
structured,isolated_pitch,pitch_directed,cel8_115,↗ ↘ ↑ ↓ →,98.05908969478394,0.8755760368663629
structured,isolated_pitch,pitch_directed,cel8_115_lw,↗ ↘ ↑ ↓ → + LW,99.78260869565217,2.5990950377345836
